star,per,tc,e,w,k
#224930,7546.0,2452179.3,0.15,0.09,7904.0
224930,3800.0,2456250.0,0.26,2.8,3700.0
6582,2650.0,2455379.0,0.43,-2.8,1979.0
10307,5156.0,2455253.0,0.5,-1.5,1070.0
14214,95.3,2455152.0,0.2,-0.33,6414.0
32850,344.0,2455135.0,0.45,-2.4,58440.0
64606,448.0,2455374.8,0.3,3.93,5797.0
110833,273.0,2455177.0,0.77,-1.80,1060.0
112758,103.3,2455174.0,0.15,-0.4,1650.0
122742,3606.0,2455229.0,0.48,-3.09,6407.0
131511,125.4,2455194.0,0.5,-2.46,18950.7
131582,1771.6,2454150.1,0.75,-2.15,2943.0
142267,137.3,2455202.0,0.51,-1.56,5438.0
161198,1935.5,2455310.0,0.8,-0.82,4544.0
178428,21.96,2453036.8,0.09,1.16,13189.0
217580,453.9,2455382.0,0.53,-2.05,2450.0
224465,52.42,2455204.0,0.12,3.0,10966.0
16160,34135.6,2457638.0,0.68,2.1,688.0
39587,5161.0,2456519.0,0.45,1.94,1873.0
68017,12942.3,2461563.0,0.31,-0.7,134.0
185414,5540.0,2456138.0,0.69,2.49,1683.0
190406,15277.6,2447856.9,0.4,-1.2,466.5
hip12709,1230.0,2455200.0,0.51,2.05,6518.0
17382,8091.0,2452398.0,0.63,2.2,4594.0
65430,3521.4,2457195.5,0.38,1.28,1465.3
112914,709.6,2454920.0,0.32,1.11,5672.0
127506,2791.0,2457210.0,0.71,-2.04,901.6
144287,4499.0,2456982.5,0.45,0.76,1714.0
hip103256,2193.0,2455746.0,0.44,-2.39,1979.8
190771,6148.5,2453648.7,0.42,2.11,1155.7